CCStrain	replicate	MaximumPCAValue	DateofExpulsion	IgEfoldchange	sex	EarSwell	ExpulsionTime
CC029	4	6	12	-0.436385206243338	F	-1.03190303318224	0.158271098738979
CC029	5	10	12	-0.144391442836398	F	-0.428399444939052	0.158271098738979
CC030	1	7	12	1.25593363999283	F	-0.881027136121443	0.158271098738979
CC030	2	8	11	-1.97186827170523	F	-0.730151239060646	-0.408867005075695
CC031	1	8	15	1.80005860046628	F	-0.730151239060646	1.859685410183
CC031	2	9	14	0.0515654482614219	F	-0.579275341999849	1.29254730636833
CC031	3	6	15	0.209693583154434	F	-1.03190303318224	1.859685410183
CC032	1	16	11	1.02175640257112	F	0.476855937425731	-0.408867005075695
CC032	2	15	11	0.466799975086556	F	0.325980040364934	-0.408867005075695
CC033	1	14	10	1.48260395482059	F	0.175104143304137	-0.976005108890369
CC033	2	17	9	-0.0704456411167461	F	0.627731834486528	-1.54314321270504
CC033	3	18	9	0.764101105385055	F	0.778607731547326	-1.54314321270504
CC035	1	7	11	0.782520925747555	F	-0.881027136121443	-0.408867005075695
CC035	2	9	11	0.155589551217833	F	-0.579275341999849	-0.408867005075695
CC035	3	11	11	-0.31987122220953	F	-0.277523547878255	-0.408867005075695
CC037	1	29	10	0.522885342951024	F	2.43824259921609	-0.976005108890369
CC037	2	32	10	0.128929629343489	F	2.89087029039849	-0.976005108890369
CC037	3	23	10	0.167471421332654	F	1.53298721685131	-0.976005108890369
CC038	1	18	14	-0.357034658029531	F	0.778607731547326	1.29254730636833
CC038	2	11	14	-0.149169039422127	F	-0.277523547878255	1.29254730636833
CC039	1	16	12	0.728926936892248	F	0.476855937425731	0.158271098738979
CC039	2	11	11	0.437820319791477	F	-0.277523547878255	-0.408867005075695
CC039	3	16	11	0.748161006504756	F	0.476855937425731	-0.408867005075695
CC040	1	10	14	1.52921868457241	F	-0.428399444939052	1.29254730636833
CC040	2	7	14	-1.71017576023647	F	-0.881027136121443	1.29254730636833
CC041	1	8	12	0.438913729651949	F	-0.730151239060646	0.158271098738979
CC041	2	9	13	-0.0821097552359619	F	-0.579275341999849	0.725409202553653
CC041	3	7	12	0.629103815499352	F	-0.881027136121443	0.158271098738979
CC042	1	12	11	0.187392234780972	F	-0.126647650817457	-0.408867005075695
CC042	2	20	12	-0.0507592020921855	F	1.08035952566892	0.158271098738979
CC042	3	14	11	0.371534607939639	F	0.175104143304137	-0.408867005075695
CC043	1	13	13	-1.07435374138059	F	0.0242282462433397	0.725409202553653
CC043	2	17	14	-0.514531393723558	F	0.627731834486528	1.29254730636833
CC043	3	25	12	-0.801690435045208	F	1.83473901097291	0.158271098738979
CC045	1	8	10	-0.719328822944816	F	-0.730151239060646	-0.976005108890369
CC045	2	10	10	-0.603555922889612	F	-0.428399444939052	-0.976005108890369
CC045	3	8	11	-0.827181221254281	F	-0.730151239060646	-0.408867005075695
CC046	1	5	12	0.29228775869581	F	-1.18277893024304	0.158271098738979
CC046	2	10	10	-0.253084158206625	F	-0.428399444939052	-0.976005108890369
CC046	3	9	10	0.439395026763625	F	-0.579275341999849	-0.976005108890369
CC049	1	27	11	0.781744460850919	F	2.1364908050945	-0.408867005075695
CC049	2	31	10	1.12126781945815	F	2.73999439333769	-0.976005108890369
CC049	3	27	11	0.635774296083161	F	2.1364908050945	-0.408867005075695
CC051	1	8	13	0.449080114702687	F	-0.730151239060646	0.725409202553653
CC051	2	10	13	0.118487017847357	F	-0.428399444939052	0.725409202553653
CC053	1	5	15	-1.18242050224536	F	-1.18277893024304	1.859685410183
CC053	2	5	12	-1.01238900478047	F	-1.18277893024304	0.158271098738979
CC053	3	6	13	0.426535390044304	F	-1.03190303318224	0.725409202553653
CC053	4	4	14	NA	F	-1.33365482730383	1.29254730636833
CC053	5	6	NA	-0.455928327507083	F	-1.03190303318224	NA
CC055	1	16	12	1.07311279705828	F	0.476855937425731	0.158271098738979
CC055	2	12	11	1.62457050304809	F	-0.126647650817457	-0.408867005075695
CC055	3	19	11	1.37887943880553	F	0.929483628608123	-0.408867005075695
CC057	1	8	10	0.521835158124722	F	-0.730151239060646	-0.976005108890369
CC057	2	4	10	-0.815742901638584	F	-1.33365482730383	-0.976005108890369
CC057	3	7	10	-0.175547076318702	F	-0.881027136121443	-0.976005108890369
CC058	1	6	11	-0.0883664164117496	F	-1.03190303318224	-0.408867005075695
CC058	2	10	12	0.596193322688345	F	-0.428399444939052	0.158271098738979
CC058	3	9	13	0.886860107786405	F	-0.579275341999849	0.725409202553653
CC060	1	18	13	2.0287706052146	F	0.778607731547326	0.725409202553653
CC060	2	20	13	1.81372361242398	F	1.08035952566892	0.725409202553653
CC061	1	12	12	NA	F	-0.126647650817457	0.158271098738979
CC061	2	17	12	-0.981005937720127	F	0.627731834486528	0.158271098738979
CC061	3	14	NA	-1.31379949818184	F	0.175104143304137	NA
CC065	1	15	11	0.0191907159716597	F	0.325980040364934	-0.408867005075695
CC065	2	9	11	0.0349409185810967	F	-0.579275341999849	-0.408867005075695
CC065	3	5	11	0.263540048571583	F	-1.18277893024304	-0.408867005075695
CC071	1	4	15	1.33783606342138	F	-1.33365482730383	1.859685410183
CC071	2	3	14	0.0442279409091664	F	-1.48453072436463	1.29254730636833
CC071	3	5	13	0.714828872649397	F	-1.18277893024304	0.725409202553653
CC072	1	9	10	1.55377025601582	F	-0.579275341999849	-0.976005108890369
CC072	2	11	10	1.02029922182078	F	-0.277523547878255	-0.976005108890369
CC072	3	12	10	1.0246380210974	F	-0.126647650817457	-0.976005108890369
